dataset,hypothesis,alpha,run_id,ari
H2-Medium,H2,0.0,20,0.7462476974348766
H2-Medium,H2,0.0,21,0.7462476974348766
H2-Medium,H2,0.0,22,0.7498272909667962
H2-Medium,H2,0.0,23,0.7462476974348766
H2-Medium,H2,0.0,24,0.7498272909667962
H2-Medium,H2,0.0,25,0.7462476974348766
H2-Medium,H2,0.0,26,0.7498272909667962
H2-Medium,H2,0.0,27,0.7462476974348766
H2-Medium,H2,0.0,28,0.7462476974348766
H2-Medium,H2,0.0,29,0.7498272909667962
H2-Medium,H2,0.3,0,0.7498272909667962
H2-Medium,H2,0.3,1,0.7498272909667962
H2-Medium,H2,0.3,2,0.7498272909667962
H2-Medium,H2,0.3,3,0.7498272909667962
H2-Medium,H2,0.3,4,0.7498272909667962
H2-Medium,H2,0.3,5,0.7462476974348766
H2-Medium,H2,0.3,6,0.7462476974348766
H2-Medium,H2,0.3,7,0.7498272909667962
H2-Medium,H2,0.3,8,0.7498272909667962
H2-Medium,H2,0.3,9,0.7462476974348766
H2-Medium,H2,0.3,10,0.7498272909667962
H2-Medium,H2,0.3,11,0.7462476974348766
H2-Medium,H2,0.3,12,0.7498272909667962
H2-Medium,H2,0.3,13,0.7462476974348766
H2-Medium,H2,0.3,14,0.7498272909667962
H2-Medium,H2,0.3,15,0.7462476974348766
H2-Medium,H2,0.3,16,0.7498272909667962
H2-Medium,H2,0.3,17,0.7498272909667962
H2-Medium,H2,0.3,18,0.7462476974348766
H2-Medium,H2,0.3,19,0.7498272909667962
H2-Medium,H2,0.3,20,0.7462476974348766
H2-Medium,H2,0.3,21,0.7462476974348766
H2-Medium,H2,0.3,22,0.7498272909667962
H2-Medium,H2,0.3,23,0.7462476974348766
H2-Medium,H2,0.3,24,0.7498272909667962
H2-Medium,H2,0.3,25,0.7462476974348766
H2-Medium,H2,0.3,26,0.7498272909667962
H2-Medium,H2,0.3,27,0.7462476974348766
H2-Medium,H2,0.3,28,0.7462476974348766
H2-Medium,H2,0.3,29,0.7498272909667962
H2-Medium,H2,0.5,0,0.7498272909667962
H2-Medium,H2,0.5,1,0.7498272909667962
H2-Medium,H2,0.5,2,0.7498272909667962
H2-Medium,H2,0.5,3,0.7498272909667962
H2-Medium,H2,0.5,4,0.7498272909667962
H2-Medium,H2,0.5,5,0.7462476974348766
H2-Medium,H2,0.5,6,0.7462476974348766
H2-Medium,H2,0.5,7,0.7498272909667962
H2-Medium,H2,0.5,8,0.7498272909667962
H2-Medium,H2,0.5,9,0.7462476974348766
H2-Medium,H2,0.5,10,0.7498272909667962
H2-Medium,H2,0.5,11,0.7462476974348766
H2-Medium,H2,0.5,12,0.7498272909667962
H2-Medium,H2,0.5,13,0.7462476974348766
